id;date_inscription;montant_apayer;montant_verse;reste_apayer;etat_etudiant
1;2021-07-08;18849;51814;33109;deliverables Salad Frozen
2;2021-07-08;52069;33282;72432;service-desk program copying
3;2021-07-09;38943;85915;43111;Singapore Dollar
4;2021-07-09;27993;3180;86540;Associate Baby
5;2021-07-09;70533;24071;68528;solid state
6;2021-07-08;14919;16900;15245;extranet
7;2021-07-09;66541;45859;9946;Books Home Loan Account
8;2021-07-08;69994;16259;88198;Factors Outdoors
9;2021-07-08;16467;28163;20942;SMS bandwidth-monitored
10;2021-07-08;63887;84725;27977;Enhanced
