id;date_debut;date_fin;nbre_participant;nbre_heure;heure_debut;heure_fin;contenu_formation
1;2021-07-08;2021-07-08;40296;1451;29522;47073;system engine redundant disintermediate
2;2021-07-08;2021-07-09;53824;56538;40179;57173;Pants compress
3;2021-07-09;2021-07-09;80076;67052;40898;2380;Rubber Computers
4;2021-07-09;2021-07-09;75300;32574;76958;78075;Drive Associate
5;2021-07-08;2021-07-09;46680;37229;81794;65318;coherent
6;2021-07-09;2021-07-08;83336;77469;59944;64196;syndicate payment
7;2021-07-08;2021-07-08;25377;76773;67110;44902;Awesome
8;2021-07-08;2021-07-08;89557;99069;71818;31864;optimize
9;2021-07-09;2021-07-09;69150;24045;44612;45824;Shirt overriding transmitting
10;2021-07-09;2021-07-09;25551;37391;99050;82906;Response Burundi conglomeration
